County,Conventional Households,Main Sewer,Septic tank,Cess pool,VIP Latrine,Pit latrine covered,Pit Latrine uncovered,Bucket latrine,Open/ Bush,Bio-septic tank/ Biodigester,Not Stated
BARINGO,"141,877",0.3,2.1,0.1,12.4,45.7,8.3,0.3,30.8,0.1,0
BOMET,"187,230",0.3,1.2,0.1,6.7,77.5,13,0.2,1,0.1,0
BUNGOMA,"357,714",1,2.8,0.2,10.9,68.6,14.7,0.5,1.4,0.1,0
BUSIA,"197,944",0.6,2.2,0.2,11.1,68,14.9,0.4,2.5,0.1,0
ELGEYO/MARAKWET,"99,119",0.3,1.1,0,8.8,57.7,24.9,0.3,6.8,0,0
EMBU,"182,427",2.2,7.2,0.3,14.5,66.2,8.6,0.3,0.7,0,0
GARISSA,"138,940",5.2,4.9,0.7,3.6,29.7,16.7,2.9,36.2,0.2,0
HOMA BAY,"260,290",1.1,1.2,0.1,10.1,62,14.7,0.6,10.2,0,0
ISIOLO,"53,217",4,3.1,0.4,17.7,36.8,6.7,0.6,30.6,0.1,0
KAJIADO,"313,218",2.8,21.3,0.4,14,41.2,5.5,0.6,13.6,0.4,0
KAKAMEGA,"432,284",0.8,2.4,0.1,12.3,73.4,9.5,0.4,1.1,0,0
KERICHO,"205,932",1.7,2.6,0.1,10,69.8,13.7,0.4,1.5,0.1,0
KIAMBU,"792,333",9.1,24.9,0.5,15.3,45.9,3.3,0.3,0.1,0.5,0
KILIFI,"297,990",2.4,18.7,0.6,10.1,40.1,9.2,1.8,17,0.1,0
KIRINYAGA,"203,576",0.7,8.4,0.2,17.9,68.5,3.9,0.2,0.2,0,0
KISII,"307,254",1.9,2.1,0.3,11,59.6,23.7,0.5,0.9,0,0
KISUMU,"296,846",4.8,6.1,0.2,8.7,65.4,10.5,0.5,3.6,0.1,0
KITUI,"261,814",0.5,2.8,0.1,13,62,12,0.3,9.2,0.1,0
KWALE,"172,802",0.9,8.8,0.5,8.7,38.2,9.8,1.2,31.7,0.1,0
LAIKIPIA,"145,776",8.9,5.2,0.1,12,55.8,8.3,0.2,9.4,0.1,0
LAMU,"34,231",2.1,9.4,0.7,11.5,42.8,14,1.4,17.9,0.1,0
MACHAKOS,"399,523",5.7,12.6,0.3,14.9,54.8,10.1,0.3,0.9,0.5,0
MAKUENI,"243,979",0.4,2.4,0.1,15.2,67.1,13.4,0.2,1.2,0.1,0
MANDERA,"123,954",1.2,2,0.3,2.8,28.3,23.4,2.4,39.4,0.1,0
MARSABIT,"76,689",0.1,0.7,0.1,5.1,37,9.3,0.4,47.4,0,0.1
MERU,"423,931",0.7,5.2,0.2,21.3,62.3,8.5,0.3,1.4,0.1,0
MIGORI,"238,133",0.5,1.7,0.2,10.3,62.2,15,0.6,9.4,0.1,0
MOMBASA,"376,295",16.6,31.2,1.1,11.1,30.8,5.5,2.4,0.9,0.3,0
MURANG'A,"317,496",2.3,4.5,0.1,15.8,71.4,5.4,0.1,0.2,0.1,0
NAIROBI CITY,"1,494,676",54.3,18.1,0.6,6.3,16.8,2.1,1.3,0.1,0.3,0.1
NAKURU,"598,237",7.7,10.1,0.2,17.8,53.2,9.4,0.5,0.8,0.1,0
NANDI,"199,040",0.4,1.8,0.1,17.3,67.1,11.5,0.2,1.5,0,0
NAROK,"238,115",0.5,2.1,0.1,8.6,49.2,10.6,0.6,28.2,0.1,0
NYAMIRA,"150,499",0.3,1.7,0.2,13.3,60.4,22.6,0.5,1,0.1,0
NYANDARUA,"178,224",0.3,3.1,0.1,17.8,71.8,6.6,0.1,0.2,0,0
NYERI,"244,564",6.7,7.1,0.2,14,66.3,5.3,0.1,0.1,0.1,0
SAMBURU,"63,951",0.4,1.4,0,4.2,23.6,4.2,0.6,65.6,0,0
SIAYA,"249,341",0.3,1.4,0.1,10.8,68.9,12,0.3,6,0,0
TAITA/TAVETA,"94,468",1.1,11.2,0.2,13.8,58.7,12.1,0.3,2.4,0.1,0
TANA RIVER,"66,984",0.8,4,0.5,4.6,31.7,9,0.6,48.6,0.2,0.1
THARAKA-NITHI,"109,450",0.6,3.8,0.1,15.6,66.5,12,0.2,1.1,0.1,0
TRANS NZOIA,"222,989",1.7,4,0.2,13.9,64.6,13.8,0.4,1.4,0.1,0
TURKANA,"162,627",0.4,1.4,0.2,3.3,18.9,6.8,0.8,68.1,0.1,0.1
UASIN GISHU,"301,110",9.6,10.9,0.2,14.4,55.3,8.6,0.3,0.5,0.2,0
VIHIGA,"143,288",0.3,1.3,0.1,18.4,70.1,9.1,0.2,0.6,0,0
WAJIR,"126,878",1.7,3.9,0.3,2.1,21.6,16,10.5,43.6,0.2,0
WEST POKOT,"115,761",0.2,1.2,0.1,5.3,41.7,8.1,0.7,42.7,0,0
